
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
		Testing malloc() function
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
 #	malloc()	free()		size
45	1.084 us	-1.000 us	2^44(0) bytes
46	1.084 us	-1.000 us	2^45(0) bytes
47	1.083 us	-1.000 us	2^46(0) bytes
48	1.083 us	-1.000 us	2^47(0) bytes
49	1.084 us	-1.000 us	2^48(0) bytes
50	1.083 us	-1.000 us	2^49(0) bytes
51	1.083 us	-1.000 us	2^50(0) bytes
52	1.083 us	-1.000 us	2^51(0) bytes
53	1.083 us	-1.000 us	2^52(0) bytes
54	1.083 us	-1.000 us	2^53(0) bytes
55	1.084 us	-1.000 us	2^54(0) bytes
56	1.041 us	-1.000 us	2^55(0) bytes
57	1.083 us	-1.000 us	2^56(0) bytes
58	1.083 us	-1.000 us	2^57(0) bytes
59	1.083 us	-1.000 us	2^58(0) bytes
60	1.084 us	-1.000 us	2^59(0) bytes
61	1.084 us	-1.000 us	2^60(0) bytes
62	1.083 us	-1.000 us	2^61(0) bytes
63	1.084 us	-1.000 us	2^62(0) bytes
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
