'task_05'
Test MALLOC, number of runs: 10
	size	  alloc, max	  alloc, min	  alloc, avg	   free, max	   free, min	   free, avg
	2^31	0.000003 us	0.000913 us	0.000003 us	0.000006 us	0.000005 us	0.000006 us
	2^32	0.000005 us	0.000913 us	0.000005 us	0.000006 us	0.000005 us	0.000006 us
	2^33	0.000005 us	0.000914 us	0.000005 us	0.000005 us	0.000006 us	0.000005 us
Can't allocate:(

Test ALLOCA, number of runs: 10
	size	  alloc, max	  alloc, min	  alloc, avg	   free, max	   free, min	   free, avg
	2^00	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^01	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^02	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^03	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^04	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^05	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^06	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^07	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^08	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^09	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^10	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^11	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^12	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^13	0.000001 us	0.000000 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^14	0.000001 us	0.000001 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^15	0.000001 us	0.000001 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^16	0.000001 us	0.000001 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^17	0.000002 us	0.000001 us	0.000002 us	0.000000 us	0.000000 us	0.000000 us
	2^18	0.000001 us	0.000001 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^19	0.000002 us	0.000001 us	0.000002 us	0.000000 us	0.000000 us	0.000000 us
	2^20	0.000001 us	0.000001 us	0.000001 us	0.000000 us	0.000000 us	0.000000 us
	2^21	0.000002 us	0.000001 us	0.000002 us	0.000000 us	0.000000 us	0.000000 us
	2^22	0.000002 us	0.000001 us	0.000002 us	0.000000 us	0.000000 us	0.000000 us
Segmentation fault (core dumped)

